,Columns,Average Rating,Genre Count
0,Poster_Link,7.949299999999999,202
1,Series_Title,7.949299999999999,202
2,Released_Year,7.949299999999999,202
3,Certificate,7.949299999999999,202
4,Runtime,7.949299999999999,202
5,Genre,7.949299999999999,202
6,IMDB_Rating,7.949299999999999,202
7,Overview,7.949299999999999,202
8,Meta_score,7.949299999999999,202
9,Director,7.949299999999999,202
10,Star1,7.949299999999999,202
11,Star2,7.949299999999999,202
12,Star3,7.949299999999999,202
13,Star4,7.949299999999999,202
14,No_of_Votes,7.949299999999999,202
15,Gross,7.949299999999999,202
